Hole Depth,Weight on Bit,Rate Of Penetration
8064,27.8,150.21
8065,31.4,150.56
8066,31.8,149.8
8067,30.8,148.86
8068,30.9,148.01
8069,29.3,147.75
8070,30.3,150.74
8071,30.4,143.88
8072,29.5,143.83
8073,31.1,141.01
8074,32.7,147.92
8075,32.4,140.92
8076,29.4,134.43
8077,30.5,140.92
8078,29.5,144.14
8079,30.1,148.93
8080,29.7,145.06
8081,29.9,145.48
8082,35.1,141.61
8083,36.5,140.42
8084,35.5,103.24
8085,32.9,126.98
8086,21.3,60.63
8087,18.4,59.92
8088,19.7,59.6
8089,25.2,59.64
8090,29.1,59.96
8091,30.9,59.75
8092,31.2,59.61
8093,30.3,58.86
8094,19.8,60.29
8095,20.1,59.62
8096,19.4,59.87
8097,20.1,60
8098,10.5,67.49
8099,17.7,149.71
8100,20.2,149.45
8101,21.1,149.63
8102,22.1,149.71
8103,24.9,149.71
8104,25.2,149.46
8105,29.7,149.73
8106,34.2,147.34
8107,33.9,116.74
8108,33.9,113.24
8109,34,100.35
8110,34.2,104.77
8111,30.6,148.76
8112,26.5,150.37
8113,24.7,150.06
8114,26.4,150.11
8115,25.7,149.89
8116,23.6,149.72
8117,22,150.32
8118,21.4,150.2
8119,23.5,150.28
8120,24.9,149.69
8121,24.3,150.06
8122,24,149.72
8123,22.7,149.72
8124,22.3,149.71
8125,22.3,149.71
8126,21.9,149.63
8127,21.4,149.61
8128,21.4,149.87
8129,22.3,150.3
8130,22.9,146.2
8131,26.5,150.21
8132,26.1,159.28
8133,26.3,171.47
8134,26.6,170.53
8135,28.8,190.59
8136,31.4,197.25
8137,31.4,183.34
8138,30.5,171.95
8139,31.2,181.41
8140,30.3,172.44
8141,30.4,173.72
8142,33,197.77
8143,0,199.22
8144,0,172.46
8145,0,176.57
8146,0,176.65
8147,0,177.86
8148,0,176.09
8149,0,170.6
8150,0,174.13
8151,0,175.17
8152,0,173.54
8153,0,177.84
8154,0,177.42
8155,0,173.11
8156,0,168.85
8157,0,163.04
8158,0,166.71
8159,0,191.69
8160,0,201.74
8161,0,198.78
8162,0,194.21
8163,0,196.15
8164,0,192.01
8165,0,186.28
8166,0,181.94
8167,0,181.58
8168,0,182.45
8169,0,171.7
8170,0,174.48
8171,0,187.81
8172,0.3,169.53
8173,0,163.89
8174,0,173.96
8175,0,177.64
8176,0,177.89
8177,0,179.86
8178,0,180.98
8179,0,177.75
8180,0,178.24
8181,0,179.69
8182,0,180.12
8183,0,178.57
8184,0,180.79
8185,0,181.91
8186,0,180.96
8187,0,179.6
8188,0,178.85
8189,0,178.85
8190,0,176.45
8191,0,183.87
8192,0,186.01
8195,25.1,90.44
8196,13.6,59.09
8197,12.7,58.99
8198,12.9,58.81
8199,16.3,59
8200,15,59.29
8201,14.6,59.19
8202,13.2,59.1
8203,12.8,58.83
8204,15.5,90.98
8205,21,173.1
8206,23,174.38
8207,24.3,174.38
8208,25.7,180.97
8209,26.8,184.49
8210,27.3,184.73
8211,27.8,184.48
8212,28.2,184.64
8213,29.1,191.73
8214,31.5,194.63
8215,33.7,193.61
8216,31.8,178.07
8217,31.2,188.14
8218,30.9,192.16
8219,30.9,191.73
8220,31.2,190.36
8221,34.1,202.13
8222,33.9,203.4
8223,33.2,205.68
8224,33.3,206.45
8225,33.7,201.82
8226,33.8,199.27
8227,33.9,195.64
8228,33.8,192.51
8229,34,192.26
8230,35,193.45
8231,35,192.34
8232,34,177.64
8233,32.9,201.73
8234,33.1,202.41
8235,33,193.7
8236,33.1,190.82
8237,32.6,202.03
8238,33,206.37
8239,33,203.32
8240,32.9,197.92
8241,33,194.98
8242,32.9,192.1
8243,33,192.96
8244,33,192.63
8245,33.4,192.18
8246,33.8,185.39
8247,33.6,178.88
8248,33.2,179.71
8249,33.1,182.07
8250,33,185.35
8251,33,189.81
8252,32.8,190.71
8253,33.2,190.8
8254,34.7,189
8255,33.8,173.8
8256,32.8,189.09
8257,32.7,190.95
8258,32.6,191.55
8259,33.7,190.79
8260,33.5,179.02
8261,32.7,191.05
8262,18.8,38.77
8263,14.9,38.63
8264,14.3,57.51
8265,15.7,75.49
8266,15.9,75.5
8267,16.4,75.48
8268,16.4,75.48
8269,15.9,75.53
8270,15.9,77.01
8271,21.6,173.88
8272,26.8,210.21
8273,30,210.13
8274,32.1,210.21
8275,32.8,209.34
8276,32.8,202.28
8277,33.4,195.67
8278,33.2,189.34
8279,32.9,197.17
8280,32.8,197.51
8281,33.3,198.03
8282,34.8,209.57
8283,34.8,208.29
8284,34.7,199.16
8285,34.8,199.42
8286,35.2,200.79
8287,9.6,47.6
8288,20.7,192.57
8289,30.8,208.38
8290,33.3,200.69
8291,33.2,152.02
8292,30.1,203.17
8293,29.1,214.71
8294,31,221.87
8295,29.8,212.39
8296,29.7,218.64
8297,26.9,224.72
8298,27.3,225.14
8299,28.5,224.8
8300,29.4,224.79
8301,29.5,224.54
8302,29.4,223.43
8303,29.1,224.7
8304,29,225.21
8305,28.9,224.89
8306,29.1,225.04
8307,29.3,224.8
8308,29.5,224.96
8309,29.7,224.37
8310,29.8,222.23
8311,29.6,221.41
8312,29.5,225.99
8313,30.3,225.88
8314,29.9,215.82
8315,29.5,220.94
8316,29.7,220.74
8317,29.7,219.84
8318,29.9,218.89
8319,29.6,215.82
8320,29.7,216.64
8321,29.5,220.83
8322,29.6,223.65
8323,29.6,222.72
8324,30,219.13
8325,29.6,216.16
8326,31.4,216.24
8327,31,200.87
8328,29.9,216.5
8329,29.4,227.09
8330,29.5,220.6
8331,29.6,209.41
8332,29.5,206.68
8333,28.9,210.52
8334,29,212.32
8335,29.1,212.91
8336,28.9,209.75
8337,28.8,208.77
8338,28.7,208.42
8339,28.9,208.51
8340,28.9,206.71
8341,29.3,205.87
8342,28.8,202.22
8343,28.8,205.08
8344,28.9,206.18
8345,28.9,204.88
8346,28.7,205.86
8347,28.7,206.12
8348,28.7,204.25
8349,28.3,202.04
8350,28.5,201.18
8351,28.3,198.49
8352,28.4,199.02
8353,28.2,199.02
8354,28.3,201.03
8355,28.4,203.56
8356,27.9,207.01
8357,29.7,207.6
8358,29.8,204.14
8359,29.2,186.01
8360,28,211.7
8361,28.4,211.7
8362,28.2,199.91
8363,28.4,200.6
8364,28.1,201.63
8365,28.3,201.63
8366,28,198.04
8367,28.1,199.84
8368,28,199.77
8369,28.1,199.25
8370,28,198.66
8371,28.1,197.88
8372,28.6,195.49
8373,28.8,192.16
8374,28.5,187.72
8375,28.6,187.55
8376,28.9,184.3
8377,28.7,179.69
8378,28.7,180.53
8379,28.4,187.37
8380,28.6,187.8
8381,28.8,181.74
8385,26,106.37
8386,27.4,239.2
8387,28.6,239.2
8388,22.9,199.52
8389,15,69.2
8390,14.6,69.38
8391,13.4,69.73
8392,12.1,69.22
8393,11.9,69.76
8394,13.9,69.66
8395,13.9,69.48
8396,14.4,84.88
8397,19.9,200.43
8398,22.9,213.66
8399,24.3,214.61
8400,24.9,215.55
8401,25.4,215.46
8402,25.9,214.95
8403,26.6,216.32
8404,27.1,214.36
8405,27.7,215.65
8406,28.5,221.96
8407,29.1,224.61
8408,29.7,224.45
8409,29.9,225.04
8410,30.9,229.49
8411,31.2,234.77
8412,31,233.96
8413,31,231.63
8414,30.6,228.82
8415,31.2,230.33
8416,31,231.86
8417,30.7,233.9
8418,31,233.94
8419,30.8,232.97
8420,30.8,229.06
8421,32.3,229.23
8422,31,202.76
8423,30.1,226.92
8424,30.8,231.19
8425,30.8,223.84
8426,30.6,209.67
8427,30.6,217.71
8428,30.6,217.63
8429,30.9,213.86
8430,30.9,209.78
8431,30.6,212.11
8432,30.7,215.79
8433,30.8,215.71
8434,30.8,214.18
8435,30.2,220.14
8436,30.6,220.32
8437,30.6,217.54
8438,30.5,217.96
8439,30.7,216.62
8440,30.5,213.95
8441,30.6,219.75
8442,30.6,218.98
8443,30.7,216.35
8444,30.8,216.07
8445,31.1,214.26
8446,30.9,207.51
8447,31.2,205.98
8448,31.2,202.49
8449,31.2,203.43
8450,31.3,201.21
8451,31.2,204.36
8452,31,205.3
8453,32.2,205.47
8454,31.5,178.95
8455,30.2,213.78
8456,30.3,221.62
8457,30.4,209.71
8458,30.6,203.98
8459,30.3,204.62
8460,30.1,206.66
8461,30.1,207.2
8462,30.3,207.88
8463,30.1,208.98
8464,30.1,208.98
8465,30.1,208.05
8466,30.3,207.24
8467,30.2,199.33
8468,30.1,201.11
8469,29.8,206.88
8470,30,207.38
8471,29.9,203.17
8472,30,204.96
8473,30.2,202.96
8474,30.2,201.56
8475,30.7,193.94
8476,30.8,187.03
8477,9.2,35.92
8478,18.6,175.52
8479,23.3,238.21
8480,25.2,239.22
8481,26.1,239.22
8482,26.4,239.15
8483,27,239.47
8484,29.7,239.83
8485,29.7,239.3
8486,30,239.91
8487,28.5,239.82
8488,28.7,239.56
8489,29.7,239.63
8490,30.5,239.34
8491,30.9,243.32
8492,31.2,249.4
8493,30.6,249.91
8494,30.6,249.7
8495,30.8,249.77
8496,30.9,249.69
8497,31.2,249.87
8498,31.4,249.71
8499,31.8,249.29
8500,31.5,247.15
8501,31.5,246.04
8502,31.2,246.21
8503,31.4,247.83
8504,31.4,247.42
8505,31.3,249.21
8506,31.3,249.55
8507,31.5,248.02
8508,31.3,245.52
8509,31.1,244.96
8510,31.4,244.17
8511,31.6,245.61
8512,31.2,244.18
8513,31.4,251.5
8514,31.4,251.59
8515,31.5,247.62
8516,32.8,246.98
8517,32.1,229.22
8518,31.7,238.76
8519,31.3,251.33
8520,31.4,249.79
8521,31.2,242.92
8522,31.3,240.08
8523,31.1,241.56
8524,31.5,241.81
8525,31.4,240.65
8526,31.3,239.14
8527,31.1,238.24
8528,31.1,240.16
8529,30.9,240.86
8530,20.5,104.72
8531,24.8,255.52
8532,27.1,260.13
8533,29,259.96
8534,30,260.13
8535,30.2,258.74
8536,29.9,252.02
8537,30,252.7
8538,30.1,253.04
8539,30.1,250.26
8540,30.7,248.46
8541,30.2,247
8542,30,242.14
8543,29.9,244.09
8544,30.1,245.37
8545,30.2,244.77
8546,30.4,242.39
8547,31.6,237.35
8548,32.2,235.09
8549,31.2,217.26
8550,29.9,239.8
8551,30.6,250
8552,30.7,243.67
8553,30.4,232.31
8554,30.1,236.06
8555,30.2,236.49
8556,30.6,235.92
8557,30.5,234.26
8558,30.6,232.4
8559,30.8,230.03
8560,30.6,226.9
8561,30.5,228.5
8562,30.1,234.31
8563,30.1,235.98
8564,30.5,236.83
8565,30.4,236.58
8566,30.5,235.44
8567,30.1,240.12
8568,30.1,241.48
8569,30.1,242.34
8570,30,242.87
8571,30.2,242.7
8572,7.1,23.23
8573,17,153.88
8574,21.7,258.65
8575,23.3,258.75
8576,23.8,259.09
8577,25.8,259.13
8578,28.3,259.12
8579,29.8,258.75
8580,28.1,228.97
8581,27.2,250.41
8582,27.8,254.59
8583,28.1,247.48
8584,28.4,237.88
8585,28.8,235.77
8586,30.7,255.92
8587,30.8,259.18
8588,29.5,250.12
8589,29.7,246.84
8590,30,247.49
8591,30.1,242.99
8592,29.2,238.53
8593,29.7,242.6
8594,29.3,242.77
8595,29.2,238.29
8596,29.1,238.79
8597,29.6,237.86
8598,29.2,239.14
8599,29.6,240
8600,29.3,238.63
8601,29.2,235.11
8602,29.4,236.81
8603,29.3,243.13
8604,29.3,243.04
8605,29.5,238.01
8606,29.5,237.92
8607,29.5,235.11
8608,29.2,234.6
8609,29.1,237.46
8610,31.6,240.32
8611,31,228.34
8612,29.8,219.65
8613,29.4,235.29
8614,29.5,233.13
8615,29.3,225.47
8616,29.7,230.28
8617,30.3,244.67
8618,30.7,244.59
8619,30.4,236.16
8620,30.6,242.23
8621,31,246.7
8622,30.6,247.29
8623,30.4,239.83
8624,30.6,239.91
8625,30.8,236.91
8626,30.6,234.09
8627,30.6,236.73
8628,30.8,239.89
8629,30.5,239.46
8630,30.6,238.35
8631,30.6,237.52
8632,30.7,232.39
8633,30.9,229.51
8634,31,227.87
8635,31.4,223.51
8636,30.5,224.67
8637,30.4,227.57
8638,30.8,231.08
8639,31.2,231.08
8640,30.7,231.02
8641,30.2,233
8642,32.2,233.09
8643,31.4,218.91
8644,31.2,215.52
8645,30.5,230.26
8646,30.5,235.32
8647,30.6,231.71
8648,30.6,229.48
8649,30.5,229.91
8650,30.7,228.28
8651,30.9,227.16
8652,30.8,227.2
8653,31.1,227.29
8654,31.3,226.62
8655,31.2,222.56
8656,31.8,225.89
8657,32.1,226.6
8658,32.3,221.84
8659,31.6,221.98
8660,31.4,215.48
8661,31.3,218.29
8662,31.4,221.45
8663,31.2,221.11
8664,31.1,218.46
8665,31.6,215.98
8666,31.4,212.65
8667,14.8,89.13
8668,23.4,255.29
8669,27.8,270.83
8670,28.8,254.1
8671,28.6,214.76
8672,27,189.34
8673,26.5,194.36
8674,28.4,194.37
8675,26.7,187.39
8676,26.2,202.9
8677,26.8,205.25
8678,26.5,191.33
8679,27.4,190.4
8680,27.1,178.51
8681,27.3,180.04
8682,27.2,180.12
8683,26.9,186.19
8684,26.9,186.36
8685,27.1,185.24
8686,26.9,185.67
8687,27.1,185.85
8688,26.7,191.9
8689,26.7,192.07
8690,26.8,189.34
8691,26.8,189.6
8692,26.8,187.9
8693,26.9,187.45
8694,26.9,187.64
8695,27.2,187.56
8696,27,186.61
8697,27.1,188.03
8698,26.9,187.72
8699,27,187.38
8700,27.1,186.17
8701,26.9,186.52
8702,27.2,188.69
8703,27.3,188.35
8704,27.1,184.5
8705,29.1,186.11
8706,29,176.46
8707,27.7,173.04
8708,26.7,196
8709,27.2,195.57
8710,27.3,180.9
8711,26.9,183.19
8712,26.9,182.94
8713,27,181.23
8714,26.8,184.58
8715,27.2,185.16
8716,27.3,183.19
8717,27.5,179.1
8718,27.6,175.08
8719,27.5,176.95
8720,27.3,177.21
8721,27.4,176.44
8722,27,179.76
8723,27.5,180.79
8724,27.3,177.65
8725,27,183.71
8726,27.2,183.65
8727,27,179.78
8728,27,180.8
8729,27.2,179.42
8730,27.4,176.86
8731,27.1,180.45
8732,27.2,180.46
8733,27.3,176.36
8734,27.4,175.16
8735,27.5,175.3
8736,27.5,173.64
8737,29.1,170.56
8738,28.7,156.29
8739,27.6,182.08
8740,27.9,183.28
8741,27.9,164.57
8742,28,165.76
8743,27.1,179.09
8744,27,181.23
8745,27.1,182.5
8746,27,183.59
8747,27.5,181.67
8748,27.1,179.11
8749,27.1,182.86
8750,27,184.3
8751,26.9,185.51
8752,27.3,185.18
8753,27,184.04
8754,27.4,184.04
8755,27.5,178.33
8756,27.2,182.59
8757,27.1,183.28
8758,27.2,183.79
8759,27.8,183.26
8760,27.8,176.17
8761,27.8,169.93
8762,14.1,71.97
8763,19.2,208.38
8764,21.1,209.57
8765,21.7,210.18
8766,21.8,210
8767,22.3,209.84
8768,22.5,209.75
8769,25.4,209.89
8770,24.8,210.06
8771,24,210.55
8772,23.9,210.55
8773,24.5,210.38
8774,27.1,238.69
8775,27.8,246.4
8776,27.3,235.04
8777,27.2,223.91
8778,27,226.82
8779,26.9,229.47
8780,27,228.1
8781,27.2,225.98
8782,27.3,221.17
8783,27.4,221.84
8784,27.3,220.78
8785,27.1,223.85
8786,27,225.38
8787,26.7,228.71
8788,26.6,229.14
8789,26.8,231.44
8790,26.8,231.27
8791,27.5,235.3
8792,28.3,245.89
8793,28.3,243.92
8794,28.6,231.71
8795,28.6,226.49
8796,29,222.56
8797,29.2,214.45
8798,29.2,207.52
8799,28.8,212.67
8800,29.7,212.67
8801,29.8,211.15
8802,29.1,196.46
8803,27.7,222.74
8804,28.3,225.88
8805,28.2,213.52
8806,28.2,211.64
8807,28.2,213.34
8808,28.2,213.17
8809,27.9,215.12
8810,28,216.29
8811,28.2,213.76
8812,28.1,213.6
8813,29.3,214.87
8814,31.2,206.42
8815,31.1,120.42
8816,26.8,196.88
8817,26.6,216.92
8818,26.7,216.75
8819,26.6,212.83
8820,26.5,216.76
8821,26.8,216.27
8822,27.1,213.09
8823,27.1,207
8824,27.5,207.54
8825,27.6,200.27
8826,17.3,69.66
8827,17.2,69.68
8828,18.4,69.18
8829,16.9,69.78
8830,16.2,69.39
8831,16,69.45
8832,18.5,69.46
8833,18.6,69.49
8834,21.5,120.84
8835,27.4,241.1
8836,28.2,241.44
8837,28.3,196.17
8838,28.6,184.13
8839,28.7,179.69
8840,28.5,183.11
8841,28.8,182.59
8842,29.1,176.18
8843,28.9,171.49
8844,28.8,174.65
8845,28.8,171.83
8846,28.8,175.98
8847,28.8,177.83
8848,28.7,179.93
8849,28.6,181.29
8850,28.4,186.78
8851,28.4,187.97
8852,28.5,188.05
8853,29.1,185.78
8854,29.9,173.47
8855,29.5,154.49
8856,29.8,158.01
8857,16.5,114.48
8858,23.8,256.35
8859,27.4,256.77
8860,27.4,197.52
8861,29.3,190.01
8862,29.2,167.3
8863,18.4,100.05
8864,13.5,49.28
8865,13.3,75.8
8866,17.3,149.54
8867,21.5,191.22
8868,22.4,198.73
8869,22.3,199.93
8870,24.4,219.91
8871,25.8,224.1
8872,26.2,223.6
8873,26.1,213.44
8874,27.5,214.76
8875,27.8,224.58
8876,27.6,218.01
8877,28,216.4
8878,27.9,212.98
8879,28.2,211.62
8880,28.1,205.21
8881,28,203.95
8882,27.9,205.9
8883,28.2,206.94
8884,28.2,203.6
8885,28,201.99
8886,28.4,202.24
8887,28.2,199.34
8888,28.1,199.76
8889,28.1,201.47
8890,28.2,203.13
8891,28.1,203.13
8892,27.9,203.37
8893,29.1,205.94
8894,30,200.04
8895,29.5,166.2
8896,28.5,196.97
8897,29.4,198.99
8898,29.3,168.68
8899,28.5,177.8
8900,28.2,181.65
8901,28.4,182.76
8902,28.4,181.73
8903,28.1,184.98
8904,27.8,191.12
8905,28.3,191.46
8906,28.5,186
8907,28.8,179.94
8908,30.6,173.54
8909,29.1,161.75
8910,28.9,164.83
8911,29.8,160.48
8912,29.1,156.72
8913,28.7,161.84
8914,31.2,165.2
8915,31.4,148.87
8916,28.4,69.72
8917,26.4,69.39
8918,26.2,69.42
8919,26.8,69.36
8920,23.6,69.47
8921,17.3,69.68
8922,16.4,69.56
8923,16.2,69.62
8924,20.4,88.09
8925,30.6,148.26
8926,30.2,141.93
8927,26.1,150.39
8928,30.4,150.9
8929,30.8,145.86
8930,30.6,97.12
8931,30.6,97.53
8932,30.6,97.89
8933,30.7,97.63
8934,30.4,96.42
8935,30.5,94.2
8936,30.3,143.38
8937,26.8,184.63
8938,27.9,190.52
8939,28.4,184.76
8940,30.1,156.7
8941,30.6,128.71
8942,30.3,132.29
8943,27.3,174.03
8944,26.9,185.06
8945,27.3,187.53
8946,27.3,186.58
8947,26.4,187.35
8948,27.2,187.78
8949,28,181.8
8950,21.4,48.51
8951,32,197.55
8952,33.1,179.88
8953,33,122.13
8954,32.6,116.83
8955,32.6,118.29
8956,32.5,118.28
8957,32.6,121.18
8958,29.7,171.82
8959,28.2,210.68
8960,27.7,223.67
8961,29.1,219.57
8962,29.2,206.22
8963,28.7,192.24
8964,28.3,201.8
8965,28,206.26
8966,28.3,209.55
8967,28.6,208.96
8968,29.2,207.6
8969,28,206.26
8970,28.3,209.68
8971,28.1,206.5
8972,28.1,208.81
8973,30.6,207.69
8974,31.8,178.53
8975,32.5,128.1
8976,32.1,135.02
8977,29,183.18
8978,28,200.52
8979,28.1,205.3
8980,28.1,203.54
8981,27.9,202.93
8982,27.8,201.65
8983,27.8,205.48
8984,27.7,210.35
8985,28.6,210.35
8986,29.4,203.2
8987,28.9,194.21
8988,27.9,203.48
8989,30.4,202.89
8990,30.8,174.06
8991,30.8,162.24
8992,29.2,182
8993,27.9,200.1
8994,24.7,183.62
8995,17.4,69.38
8996,14.9,69.5
8997,14.3,69.31
8998,16.4,69.25
8999,16.3,69.52
9000,24,69.43
9001,26.1,69.41
9002,26.5,69.51
9003,26.1,70.45
9004,30.8,129.99
9005,32.4,129.9
9006,32.8,114.36
9007,32.9,123.64
9008,29.1,182.82
9009,28,202.24
9010,28.5,203.26
9011,29.4,201.13
9012,28.8,188.91
9013,28.6,194.38
9014,28.7,193.02
9015,28.3,198.12
9016,28.6,201.54
9017,28.3,198.89
9018,28.4,201.97
9019,29.3,201.37
9020,29.8,188.55
9021,33.1,175.83
9022,33.4,93.6
9023,32.6,117.59
9024,32.9,114.69
9025,32.9,102.23
9026,30.8,154.15
9027,28.3,194.97
9028,27.8,204.78
9029,28.2,205.03
9030,29.7,200.17
9031,28.7,187.64
9032,28,199.53
9033,28.4,199.36
9034,28.7,197.33
9035,29.3,188.47
9036,29.8,182.23
9037,28.6,194.47
9038,28.1,201.14
9039,28.6,201.02
9040,28.6,194.47
9041,29.4,194.04
9042,29.8,177.81
9043,29.3,175.09
9044,29,184.54
9045,10.3,67.67
9046,11.6,69.18
9047,11.9,69.02
9048,12,69.23
9049,11.1,69.16
9050,11,69.53
9051,11.4,69.47
9052,15.5,69.47
9053,17.2,69.17
9054,14.2,69.6
9055,12.1,69.46
9056,13.2,81.75
9057,19.6,172.35
9058,25.3,248.44
9059,27.5,249.55
9060,27.2,227.86
9061,27.1,206.17
9062,26.9,209.21
9063,26.7,210.23
9064,26.6,211.66
9065,26.9,211.91
9066,27.7,209.76
9067,27.9,196.97
9068,29.7,187.52
9069,29.7,118.73
9070,29.4,119.29
9071,25.6,188.04
9072,25.4,195.27
9073,26,198.87
9074,28.9,195.41
9075,29.1,137.16
9076,28.9,107.18
9077,29.2,106.93
9078,29.2,102.74
9079,29.3,102.99
9080,29.4,107.77
9081,26.8,159.87
9082,25.8,182.21
9083,27,191.31
9084,27.5,172.64
9085,27.5,167.39
9086,24.8,205.66
9087,25,204.97
9088,25,198.7
9089,25.1,198.92
9090,25.5,198.84
9091,25.5,193.4
9092,26.3,189.67
9093,27.5,173.22
9094,28.6,151.35
9095,28.9,115.55
9096,28.1,141.68
9097,25.6,184.48
9098,25,195.92
9099,24.8,201.72
9100,26.6,201.72
9101,25.8,179
9102,25,194.04
9103,24.9,196.34
9104,25.2,197.53
9105,25.4,197.54
9106,26.5,191.82
9107,25.8,178.76
9108,25.8,187.64
9109,29.2,186.46
9110,29.6,119.45
9111,29.1,91.47
9112,29.3,95.75
9113,29,95.23
9114,30.2,94.97
9115,27.5,139.23
9116,25.7,187.21
9117,24.7,210.95
9118,24.5,206.33
9119,24.6,200.93
9120,25.1,200.97
9121,24.8,195.23
9122,24.9,194.81
9123,24.9,193.18
9124,26.6,191.48
9125,27.6,180.38
9126,26.4,172.86
9127,25.2,185.42
9128,25.3,185.83
9129,25.2,187.18
9130,25.1,187.95
9131,25.2,187.78
9132,25,189
9133,25.1,188.92
9134,25.1,187.72
9135,25,189
9136,25.3,193.52
9137,25.7,192.24
9138,25.5,181.91
9139,10.5,77.73
9140,19.2,240.81
9141,23.4,258.45
9142,26,258.87
9143,28.3,258.33
9144,28.5,251.09
9145,27.1,213.51
9146,28.3,218.04
9147,27.5,206.23
9148,27.1,217.67
9149,27.8,223.82
9150,27.7,218.53
9151,28.2,203.24
9152,27.5,200.44
9153,27.4,207.01
9154,27.8,207.01
9155,28.8,200.27
9156,28.8,198.73
9157,26.8,206.58
9158,26.4,222.47
9159,26.5,223.15
9160,26.7,221.87
9161,27.2,217.53
9162,27.3,208.39
9163,27.1,208.05
9164,27.2,208.65
9165,26.6,211.04
9166,26.4,217.87
9167,26.3,217.87
9168,26.3,218.55
9169,26.3,219.05
9170,26.3,218.03
9171,26.3,218.03
9172,26.8,216.5
9173,26.7,215.73
9174,27.1,215.47
9175,27.4,209.82
9176,26.9,208.96
9177,28.1,211.9
9178,28.7,211.23
9179,27.7,192.18
9180,26.5,216.2
9181,26.9,217.71
9182,27.6,204.9
9183,26.9,202.47
9184,26.8,211.53
9185,26.7,211.53
9186,26.9,208.69
9187,26.9,208.74
9188,27.1,204.21
9189,26.9,203.54
9190,26.6,213.07
9191,26.8,213.09
9192,27,210.87
9193,26.8,207.44
9194,27,206.98
9195,26.9,206.56
9196,26.9,202.13
9197,27.1,202.41
9198,27.6,200.79
9199,27.6,194.38
9200,27.5,197.36
9201,27.6,197.62
9202,27.5,192.33
9203,27.3,196.96
9204,27.2,198.14
9205,27.3,198.06
9206,27.5,196.3
9207,27.5,193.88
9208,27.1,198.22
9209,29.1,199.51
9210,28.2,186.1
9211,28.2,191.39
9212,27.1,214.61
9213,27.1,212.3
9214,27.4,200.69
9215,27.2,198.31
9216,26.7,203.09
9217,26.8,206.41
9218,27.2,206.76
9219,27.5,202.83
9220,27.3,202.75
9221,26.5,211.54
9222,26.7,211.37
9223,26.9,207.16
9224,27.1,204.13
9225,27,203.77
9226,26.9,203.17
9227,27.4,202.3
9228,28.5,198.37
9229,28,182.75
9230,28.3,183.23
9231,28,187.57
9232,28,188.05
9233,28.1,182.14
9234,8.8,68.6
9235,10.3,76.58
9236,9.8,48.88
9237,9.7,48.56
9238,9.5,48.57
9239,10.1,48.46
9240,12.5,48.58
9241,11.8,49
9242,9.3,49.06
9243,9.7,48.73
9244,9.7,48.69
9245,10.5,48.85
9246,10.3,48.81
9247,16,122.1
9248,21.5,252.26
9249,24.5,259.04
9250,26.3,258.7
9251,26.4,250.75
9252,26.2,235.03
9253,26.2,229.82
9254,27,229.82
9255,27.2,224.58
9256,27.7,210.4
9257,27,203.58
9258,27.6,203.83
9259,26.4,207.22
9260,26.5,214.4
9261,26.4,212.69
9262,26.4,213.02
9263,26,217.22
9264,26.3,218.24
9265,25.9,214.18
9266,26,223.01
9267,25.8,222.66
9268,25.6,224.62
9269,25.6,225.72
9270,25.5,225.5
9271,27.9,225.17
9272,27.8,215.3
9273,27.6,192
9274,26,224.63
9275,26.3,224.63
9276,26,215.29
9277,25.4,222.04
9278,26.1,223.83
9279,25.9,220.08
9280,26.3,213.94
9281,27,210.34
9282,26,207.7
9283,26.2,208.98
9284,26.5,210.58
9285,26.2,207.67
9286,25.9,213.22
9287,25.5,217.79
9288,25.6,222.31
9289,26,221.37
9290,25.7,214.54
9291,25.6,216.16
9292,25.8,217.95
9293,25.8,213.94
9294,25.9,213.6
9295,25.8,212.31
9296,25.9,212.4
9297,26,213.58
9298,26,213.59
9299,26.3,210.89
9300,26.4,210.89
9301,26.2,208.91
9302,26,210.88
9303,28,210.21
9304,27.5,192.42
9305,27.1,194.1
9306,26.8,209.9
9307,26.7,204.86
9308,27,195.14
9309,26.5,197.96
9310,27,199.06
9311,26.8,201.22
9312,26.1,205.9
9313,26.4,207.95
9314,26.2,205.58
9315,26.2,206.42
9316,26.3,205.31
9317,26.3,202.71
9318,26.3,203.14
9319,25.9,208.95
9320,25.9,209.2
9321,26,209.68
9322,26.1,208.27
9323,26.1,206.26
9324,26,206.17
9325,26.4,209.21
9326,26.6,207.04
9327,26.7,199
9328,13,96.03
9329,19.7,251.71
9330,23.8,258.63
9331,25.9,259.1
9332,27.5,259.81
9333,29.5,264.51
9334,30.8,273.39
9335,33.1,273.39
9336,30.3,236.06
9337,29.3,257.41
9338,29.9,268.58
9339,30.1,268.07
9340,30.2,256.19
9341,29.9,251.68
9342,30.2,251.93
9343,30.2,249.44
9344,30.2,245.44
9345,30.2,246.12
9346,30.4,245.18
9347,29.8,247.49
9348,29.9,251.23
9349,29.8,251.84
9350,30.1,251.08
9351,30.1,250.47
9352,30,252.11
9353,30,252.36
9354,29.8,250.47
9355,29.8,254.93
9356,29.5,254.93
9357,29.7,254.67
9358,29.7,254.42
9359,29.8,253.99
9360,29.5,253.64
9361,30.1,257.75
9362,30.2,257.83
9363,30.2,251.17
9364,30,250.57
9365,30.4,250.14
9366,30.2,247.63
9367,31.9,247.46
9368,31.9,229.82
9369,29.4,248.35
9370,30,261.33
9371,30.2,258.09
9372,30.2,248.55
9373,30,253.39
9374,29.9,254.67
