Hole Depth,Weight on Bit,Rate Of Penetration
6372,22.8,78.12
6373,23.7,76.8
6374,22.2,74.74
6375,23.4,78.68
6376,20.8,79.95
6377,22.4,80.02
6378,22.4,80.08
6379,21.8,78.82
6380,21.1,80.89
6381,21.8,76.69
6382,20.6,78.09
6383,21.2,80.4
6384,21.8,78.76
6385,21.8,79.13
6386,21.8,79.34
6387,23.9,79.95
6388,21.1,80.42
6389,23.1,80.2
6390,24.4,77.76
6391,24.2,79.72
6392,6.8,27.81
6393,7.3,27.54
6394,7.2,27.92
6395,7.9,28.04
6396,8.9,47.71
6397,12.3,58.54
6398,16.2,79.36
6399,20.1,83.51
6400,22.1,85.4
6401,22,100.18
6402,18.3,70.96
6403,11.9,48.8
6404,12.6,48.71
6405,12.9,48.69
6406,13,48.76
6407,13.4,48.77
6408,11.8,48.6
6409,13,48.76
6410,11.8,48.73
6411,12.2,48.77
6412,18,99.54
6413,19.7,100.01
6414,21.2,104
6415,23.4,110.92
6416,26.8,108.81
6417,26,99.72
6418,26.4,104.19
6419,26,107.55
6420,26.2,91.36
6421,26,99.06
6422,26.3,99.49
6423,25.6,108.44
6424,25.7,107.6
6425,26.2,108.05
6426,26.1,105.9
6427,26.1,106.24
6428,25.7,104.01
6429,25.5,113.16
6430,26,112.22
6431,26.1,96.76
6432,25.4,98.54
6433,25.6,116.24
6434,25.8,99.38
6435,25.9,96.17
6436,26.1,93.85
6437,25.3,100.29
6438,26.1,101.29
6439,25.9,96.16
6440,25.4,89.68
6441,26.1,93.14
6442,23.7,91.14
6443,25.7,101.72
6444,25.5,103.59
6445,25.6,106.78
6446,25.8,100.95
6447,25.6,94.99
6448,15.1,29.76
6449,10.5,29.7
6450,10.3,31.3
6451,10.7,44.17
6452,11.4,49.61
6453,11.1,49.59
6454,11.5,49.66
6455,11.8,49.6
6456,12.9,49.8
6457,13.2,49.58
6458,13.1,49.54
6459,13.4,49.69
6460,14.1,49.55
6461,15.5,49.9
6462,18.6,49.66
6463,17.3,39.93
6464,11.8,29.66
6465,9.4,28.88
6466,11.2,49.45
6467,13.8,76.71
6468,18.4,79.92
6469,18,80.48
6470,18.7,80.44
6471,19,80.81
6472,18.4,80.57
6473,17.7,80.81
6474,18.4,80.81
6475,18.9,80.48
6476,19.2,80.33
6477,21,80.74
6478,20.4,80.61
6479,19.7,80.2
6480,19.4,80.29
6481,19.7,80.27
6482,20.1,80.39
6483,20.2,80.62
6484,20.8,80.7
6485,20.8,80.44
