Attribute,Value
Hole Depth (km),7.852
Hole Depth (km),11.507
Hole Depth (km),7.85
Hole Depth (km),11.506
Hole Depth (km),7.851
Hole Depth (km),11.503
Hole Depth (km),7.858
Hole Depth (km),11.5
Hole Depth (km),7.859
Hole Depth (km),11.499
Hole Depth (km),7.857
Hole Depth (km),11.502
Hole Depth (km),7.855
Hole Depth (km),11.501
Hole Depth (km),7.856
Hole Depth (km),7.83
Hole Depth (km),7.804
Hole Depth (km),11.554
Hole Depth (km),7.805
Hole Depth (km),11.553
Hole Depth (km),7.803
Hole Depth (km),11.556
Hole Depth (km),7.801
Hole Depth (km),11.555
Hole Depth (km),7.802
Hole Depth (km),11.552
Hole Depth (km),7.809
Hole Depth (km),11.549
Hole Depth (km),7.81
Hole Depth (km),11.548
Hole Depth (km),7.808
Hole Depth (km),11.551
Hole Depth (km),7.806
Hole Depth (km),11.55
Hole Depth (km),7.807
Hole Depth (km),11.557
Hole Depth (km),7.794
Hole Depth (km),11.564
Hole Depth (km),7.795
Hole Depth (km),11.563
Hole Depth (km),7.793
Hole Depth (km),11.566
Hole Depth (km),7.791
Hole Depth (km),11.565
Hole Depth (km),7.792
Hole Depth (km),11.562
Hole Depth (km),7.799
Hole Depth (km),11.559
Hole Depth (km),7.8
Hole Depth (km),11.558
Hole Depth (km),7.798
Hole Depth (km),11.561
Hole Depth (km),7.796
Hole Depth (km),11.56
Hole Depth (km),7.797
Hole Depth (km),11.534
Hole Depth (km),7.823
Hole Depth (km),11.533
Hole Depth (km),7.824
Hole Depth (km),11.535
Hole Depth (km),7.821
Hole Depth (km),11.537
Hole Depth (km),7.822
Hole Depth (km),11.536
Hole Depth (km),7.825
Hole Depth (km),11.529
Hole Depth (km),7.828
Hole Depth (km),11.528
Hole Depth (km),7.829
Hole Depth (km),11.53
Hole Depth (km),7.826
Hole Depth (km),11.532
Hole Depth (km),7.827
Hole Depth (km),11.531
Hole Depth (km),7.82
Hole Depth (km),11.544
Hole Depth (km),7.813
Hole Depth (km),11.543
Hole Depth (km),7.814
Hole Depth (km),11.545
Hole Depth (km),7.811
Hole Depth (km),11.547
Hole Depth (km),7.812
Hole Depth (km),11.546
Hole Depth (km),7.815
Hole Depth (km),11.539
Hole Depth (km),7.818
Hole Depth (km),11.538
Hole Depth (km),7.819
Hole Depth (km),11.54
Hole Depth (km),7.816
Hole Depth (km),11.542
Hole Depth (km),7.817
Hole Depth (km),11.541
Hole Depth (km),11.488
Hole Depth (km),11.435
Hole Depth (km),7.922
Hole Depth (km),11.434
Hole Depth (km),7.923
Hole Depth (km),11.436
Hole Depth (km),7.92
Hole Depth (km),11.438
Hole Depth (km),7.921
Hole Depth (km),11.437
Hole Depth (km),7.924
Hole Depth (km),11.43
Hole Depth (km),7.927
Hole Depth (km),11.429
Hole Depth (km),7.928
Hole Depth (km),11.431
Hole Depth (km),7.925
Hole Depth (km),11.433
Hole Depth (km),7.926
Hole Depth (km),11.432
Hole Depth (km),7.919
Hole Depth (km),11.445
Hole Depth (km),7.912
Hole Depth (km),11.444
Hole Depth (km),7.913
Hole Depth (km),11.446
Hole Depth (km),7.91
Hole Depth (km),11.448
Hole Depth (km),7.911
Hole Depth (km),11.447
Hole Depth (km),7.914
Hole Depth (km),11.44
Hole Depth (km),7.917
Hole Depth (km),11.439
Hole Depth (km),7.918
Hole Depth (km),11.441
Hole Depth (km),7.915
Hole Depth (km),11.443
Hole Depth (km),7.916
Hole Depth (km),11.442
Hole Depth (km),7.942
Hole Depth (km),11.416
Hole Depth (km),7.943
Hole Depth (km),11.415
Hole Depth (km),7.941
Hole Depth (km),11.418
Hole Depth (km),7.939
Hole Depth (km),11.417
Hole Depth (km),7.94
Hole Depth (km),11.414
Hole Depth (km),7.947
Hole Depth (km),11.411
Hole Depth (km),7.948
Hole Depth (km),11.41
Hole Depth (km),7.946
Hole Depth (km),11.413
Hole Depth (km),7.944
Hole Depth (km),11.412
Hole Depth (km),7.945
Hole Depth (km),11.419
Hole Depth (km),7.932
Hole Depth (km),11.426
Hole Depth (km),7.933
Hole Depth (km),11.425
Hole Depth (km),7.931
Hole Depth (km),11.428
Hole Depth (km),7.929
Hole Depth (km),11.427
Hole Depth (km),7.93
Hole Depth (km),11.424
Hole Depth (km),7.937
Hole Depth (km),11.421
Hole Depth (km),7.938
Hole Depth (km),11.42
Hole Depth (km),7.936
Hole Depth (km),11.423
Hole Depth (km),7.934
Hole Depth (km),11.422
Hole Depth (km),7.935
Hole Depth (km),7.909
Hole Depth (km),7.883
Hole Depth (km),11.475
Hole Depth (km),7.884
Hole Depth (km),11.474
Hole Depth (km),7.882
Hole Depth (km),11.477
Hole Depth (km),7.88
Hole Depth (km),11.476
Hole Depth (km),7.881
Hole Depth (km),11.473
Hole Depth (km),7.888
Hole Depth (km),11.47
Hole Depth (km),7.889
Hole Depth (km),11.469
Hole Depth (km),7.887
Hole Depth (km),11.472
Hole Depth (km),7.885
Hole Depth (km),11.471
Hole Depth (km),7.886
Hole Depth (km),11.478
Hole Depth (km),7.873
Hole Depth (km),11.485
Hole Depth (km),7.874
Hole Depth (km),11.484
Hole Depth (km),7.872
Hole Depth (km),11.487
Hole Depth (km),7.87
Hole Depth (km),11.486
Hole Depth (km),7.871
Hole Depth (km),11.483
Hole Depth (km),7.878
Hole Depth (km),11.48
Hole Depth (km),7.879
Hole Depth (km),11.479
Hole Depth (km),7.877
Hole Depth (km),11.482
