Attribute,Value
Rate Of Penetration (ft/s),2.944166667
Rate Of Penetration (ft/s),2.942833333
Rate Of Penetration (ft/s),1.663166667
Rate Of Penetration (ft/s),1.669666667
Rate Of Penetration (ft/s),2.964333333
Rate Of Penetration (ft/s),3.320333333
Rate Of Penetration (ft/s),3.296166667
Rate Of Penetration (ft/s),1.661166667
Rate Of Penetration (ft/s),1.662666667
Rate Of Penetration (ft/s),2.874333333
Rate Of Penetration (ft/s),2.934833333
Rate Of Penetration (ft/s),1.656333333
Rate Of Penetration (ft/s),2.892333333
Rate Of Penetration (ft/s),2.964
Rate Of Penetration (ft/s),2.957
Rate Of Penetration (ft/s),1.6625
Rate Of Penetration (ft/s),1.671666667
Rate Of Penetration (ft/s),2.843333333
Rate Of Penetration (ft/s),2.902166667
Rate Of Penetration (ft/s),2.9195
Rate Of Penetration (ft/s),1.663166667
Rate Of Penetration (ft/s),2.340333333
Rate Of Penetration (ft/s),2.360166667
Rate Of Penetration (ft/s),0.828
Rate Of Penetration (ft/s),0.827
Rate Of Penetration (ft/s),1.720666667
Rate Of Penetration (ft/s),2.417666667
Rate Of Penetration (ft/s),2.482166667
Rate Of Penetration (ft/s),1.2585
Rate Of Penetration (ft/s),1.248
Rate Of Penetration (ft/s),2.424666667
Rate Of Penetration (ft/s),2.116333333
Rate Of Penetration (ft/s),0.828166667
Rate Of Penetration (ft/s),0.994
Rate Of Penetration (ft/s),0.999333333
Rate Of Penetration (ft/s),0.995833333
Rate Of Penetration (ft/s),0.832
Rate Of Penetration (ft/s),0.827166667
Rate Of Penetration (ft/s),1.0105
Rate Of Penetration (ft/s),0.998666667
Rate Of Penetration (ft/s),0.993333333
Rate Of Penetration (ft/s),0.825333333
Rate Of Penetration (ft/s),2.512333333
Rate Of Penetration (ft/s),1.256666667
Rate Of Penetration (ft/s),2.398
Rate Of Penetration (ft/s),2.397166667
Rate Of Penetration (ft/s),1.254833333
Rate Of Penetration (ft/s),2.481
Rate Of Penetration (ft/s),2.073166667
Rate Of Penetration (ft/s),2.466833333
Rate Of Penetration (ft/s),2.4625
Rate Of Penetration (ft/s),1.6935
Rate Of Penetration (ft/s),1.2455
Rate Of Penetration (ft/s),2.348666667
Rate Of Penetration (ft/s),2.2405
Rate Of Penetration (ft/s),1.2585
Rate Of Penetration (ft/s),1.258166667
Rate Of Penetration (ft/s),2.402333333
Rate Of Penetration (ft/s),2.465333333
Rate Of Penetration (ft/s),2.350166667
Rate Of Penetration (ft/s),1.254333333
Rate Of Penetration (ft/s),1.255666667
Rate Of Penetration (ft/s),2.348666667
Rate Of Penetration (ft/s),1.887333333
Rate Of Penetration (ft/s),2.025333333
Rate Of Penetration (ft/s),2.0495
Rate Of Penetration (ft/s),1.746166667
Rate Of Penetration (ft/s),1.6725
Rate Of Penetration (ft/s),2.4955
Rate Of Penetration (ft/s),1.925833333
Rate Of Penetration (ft/s),2.031166667
Rate Of Penetration (ft/s),1.945666667
Rate Of Penetration (ft/s),2.455666667
Rate Of Penetration (ft/s),2.050833333
Rate Of Penetration (ft/s),2.048166667
Rate Of Penetration (ft/s),2.501833333
Rate Of Penetration (ft/s),2.498166667
Rate Of Penetration (ft/s),2.075166667
Rate Of Penetration (ft/s),2.495333333
Rate Of Penetration (ft/s),2.117833333
Rate Of Penetration (ft/s),2.479333333
Rate Of Penetration (ft/s),2.506166667
Rate Of Penetration (ft/s),2.075166667
Rate Of Penetration (ft/s),2.501
Rate Of Penetration (ft/s),0.828166667
Rate Of Penetration (ft/s),0.993666667
Rate Of Penetration (ft/s),0.997833333
Rate Of Penetration (ft/s),1
Rate Of Penetration (ft/s),0.8285
Rate Of Penetration (ft/s),0.828666667
Rate Of Penetration (ft/s),0.9935
Rate Of Penetration (ft/s),0.981
Rate Of Penetration (ft/s),1.004833333
Rate Of Penetration (ft/s),0.825
Rate Of Penetration (ft/s),1.124833333
Rate Of Penetration (ft/s),2.495166667
Rate Of Penetration (ft/s),0.818166667
Rate Of Penetration (ft/s),1.819333333
Rate Of Penetration (ft/s),2.491
Rate Of Penetration (ft/s),2.495166667
Rate Of Penetration (ft/s),2.495166667
Rate Of Penetration (ft/s),0.8235
Rate Of Penetration (ft/s),0.831166667
Rate Of Penetration (ft/s),2.493833333
Rate Of Penetration (ft/s),2.490833333
Rate Of Penetration (ft/s),3.258166667
Rate Of Penetration (ft/s),3.837666667
Rate Of Penetration (ft/s),2.153666667
Rate Of Penetration (ft/s),3.922
Rate Of Penetration (ft/s),3.861833333
Rate Of Penetration (ft/s),2.149166667
Rate Of Penetration (ft/s),3.884833333
Rate Of Penetration (ft/s),1.868833333
Rate Of Penetration (ft/s),3.6485
Rate Of Penetration (ft/s),3.592
Rate Of Penetration (ft/s),2.0255
Rate Of Penetration (ft/s),2.123666667
Rate Of Penetration (ft/s),3.786666667
Rate Of Penetration (ft/s),3.786
Rate Of Penetration (ft/s),1.910666667
Rate Of Penetration (ft/s),2.044333333
Rate Of Penetration (ft/s),3.788166667
Rate Of Penetration (ft/s),3.831833333
Rate Of Penetration (ft/s),3.824666667
Rate Of Penetration (ft/s),2.206
Rate Of Penetration (ft/s),2.015333333
Rate Of Penetration (ft/s),3.804666667
Rate Of Penetration (ft/s),1.840333333
Rate Of Penetration (ft/s),3.873166667
Rate Of Penetration (ft/s),3.825166667
Rate Of Penetration (ft/s),1.523333333
Rate Of Penetration (ft/s),3.797833333
Rate Of Penetration (ft/s),1.97
Rate Of Penetration (ft/s),3.991
Rate Of Penetration (ft/s),3.9725
Rate Of Penetration (ft/s),1.938666667
Rate Of Penetration (ft/s),3.958666667
Rate Of Penetration (ft/s),3.725166667
Rate Of Penetration (ft/s),3.851333333
Rate Of Penetration (ft/s),1.910166667
Rate Of Penetration (ft/s),3.850333333
Rate Of Penetration (ft/s),3.883333333
Rate Of Penetration (ft/s),1.920166667
Rate Of Penetration (ft/s),3.7445
Rate Of Penetration (ft/s),1.6365
Rate Of Penetration (ft/s),3.792833333
Rate Of Penetration (ft/s),3.851333333
Rate Of Penetration (ft/s),1.9785
Rate Of Penetration (ft/s),2.415333333
Rate Of Penetration (ft/s),4.235
Rate Of Penetration (ft/s),3.579333333
Rate Of Penetration (ft/s),3.155666667
Rate Of Penetration (ft/s),2.597833333
Rate Of Penetration (ft/s),2.398333333
Rate Of Penetration (ft/s),1.4855
Rate Of Penetration (ft/s),4.254833333
Rate Of Penetration (ft/s),4.513833333
Rate Of Penetration (ft/s),2.1065
Rate Of Penetration (ft/s),3.239333333
Rate Of Penetration (ft/s),3.420833333
Rate Of Penetration (ft/s),2.565
Rate Of Penetration (ft/s),2.6775
Rate Of Penetration (ft/s),3.173333333
Rate Of Penetration (ft/s),3.188833333
Rate Of Penetration (ft/s),3.2395
Rate Of Penetration (ft/s),2.5335
Rate Of Penetration (ft/s),2.468166667
Rate Of Penetration (ft/s),3.381666667
Rate Of Penetration (ft/s),3.123166667
Rate Of Penetration (ft/s),3.697333333
Rate Of Penetration (ft/s),3.776666667
Rate Of Penetration (ft/s),2.081
Rate Of Penetration (ft/s),2.098833333
Rate Of Penetration (ft/s),3.699666667
Rate Of Penetration (ft/s),3.709333333
Rate Of Penetration (ft/s),3.777
Rate Of Penetration (ft/s),2.113833333
Rate Of Penetration (ft/s),2.113833333
Rate Of Penetration (ft/s),3.764833333
Rate Of Penetration (ft/s),3.591333333
Rate Of Penetration (ft/s),2.529333333
Rate Of Penetration (ft/s),3.641
Rate Of Penetration (ft/s),3.599666667
Rate Of Penetration (ft/s),3.544166667
Rate Of Penetration (ft/s),2.466666667
Rate Of Penetration (ft/s),2.254666667
Rate Of Penetration (ft/s),3.638166667
Rate Of Penetration (ft/s),3.690833333
Rate Of Penetration (ft/s),3.685166667
Rate Of Penetration (ft/s),2.256166667
Rate Of Penetration (ft/s),3.9715
Rate Of Penetration (ft/s),4.046166667
Rate Of Penetration (ft/s),2.8395
Rate Of Penetration (ft/s),3.556833333
Rate Of Penetration (ft/s),3.979833333
Rate Of Penetration (ft/s),3.9755
Rate Of Penetration (ft/s),4.049833333
Rate Of Penetration (ft/s),3.341833333
Rate Of Penetration (ft/s),2.070833333
Rate Of Penetration (ft/s),4.043333333
Rate Of Penetration (ft/s),3.964333333
Rate Of Penetration (ft/s),1.482
Rate Of Penetration (ft/s),3.9185
Rate Of Penetration (ft/s),3.946833333
Rate Of Penetration (ft/s),4.052166667
Rate Of Penetration (ft/s),1.8915
Rate Of Penetration (ft/s),3.329166667
Rate Of Penetration (ft/s),3.985666667
Rate Of Penetration (ft/s),4
Rate Of Penetration (ft/s),3.977166667
Rate Of Penetration (ft/s),0.6645
Rate Of Penetration (ft/s),4.243166667
Rate Of Penetration (ft/s),3.059
Rate Of Penetration (ft/s),4.124666667
Rate Of Penetration (ft/s),3.964666667
Rate Of Penetration (ft/s),2.553833333
Rate Of Penetration (ft/s),4.3125
Rate Of Penetration (ft/s),1.428666667
Rate Of Penetration (ft/s),3.816166667
Rate Of Penetration (ft/s),4.1735
Rate Of Penetration (ft/s),3.036166667
Rate Of Penetration (ft/s),2.684666667
Rate Of Penetration (ft/s),4.114
Rate Of Penetration (ft/s),4.168666667
Rate Of Penetration (ft/s),2.893666667
Rate Of Penetration (ft/s),3.541333333
Rate Of Penetration (ft/s),4.124833333
Rate Of Penetration (ft/s),4.265333333
Rate Of Penetration (ft/s),3.9295
Rate Of Penetration (ft/s),2.513166667
Rate Of Penetration (ft/s),2.656
Rate Of Penetration (ft/s),4.319666667
Rate Of Penetration (ft/s),4.037166667
Rate Of Penetration (ft/s),1.969666667
Rate Of Penetration (ft/s),1.8655
Rate Of Penetration (ft/s),4.1215
Rate Of Penetration (ft/s),4.111666667
Rate Of Penetration (ft/s),4.077833333
Rate Of Penetration (ft/s),2.080666667
Rate Of Penetration (ft/s),1.974
Rate Of Penetration (ft/s),3.936
Rate Of Penetration (ft/s),4.0765
Rate Of Penetration (ft/s),1.954166667
Rate Of Penetration (ft/s),2.214
Rate Of Penetration (ft/s),3.9015
Rate Of Penetration (ft/s),3.9455
Rate Of Penetration (ft/s),2.214
Rate Of Penetration (ft/s),3.998166667
Rate Of Penetration (ft/s),2.107333333
Rate Of Penetration (ft/s),3.997166667
Rate Of Penetration (ft/s),3.9985
Rate Of Penetration (ft/s),2.078166667
Rate Of Penetration (ft/s),3.9485
Rate Of Penetration (ft/s),1.8305
Rate Of Penetration (ft/s),3.9185
Rate Of Penetration (ft/s),3.91
Rate Of Penetration (ft/s),3.957666667
Rate Of Penetration (ft/s),1.824833333
Rate Of Penetration (ft/s),1.962833333
Rate Of Penetration (ft/s),4.050666667
Rate Of Penetration (ft/s),3.966833333
Rate Of Penetration (ft/s),3.965333333
Rate Of Penetration (ft/s),1.804833333
Rate Of Penetration (ft/s),4.005333333
Rate Of Penetration (ft/s),3.8855
Rate Of Penetration (ft/s),1.96
Rate Of Penetration (ft/s),1.921333333
Rate Of Penetration (ft/s),3.838
Rate Of Penetration (ft/s),3.757833333
Rate Of Penetration (ft/s),3.805666667
Rate Of Penetration (ft/s),1.775666667
Rate Of Penetration (ft/s),1.954333333
Rate Of Penetration (ft/s),3.9215
Rate Of Penetration (ft/s),3.660833333
Rate Of Penetration (ft/s),2.528166667
Rate Of Penetration (ft/s),2.933833333
Rate Of Penetration (ft/s),3.059833333
Rate Of Penetration (ft/s),3.027833333
Rate Of Penetration (ft/s),2.681833333
Rate Of Penetration (ft/s),2.985166667
Rate Of Penetration (ft/s),2.787166667
Rate Of Penetration (ft/s),2.984833333
Rate Of Penetration (ft/s),3.0205
Rate Of Penetration (ft/s),2.933833333
Rate Of Penetration (ft/s),3.041666667
Rate Of Penetration (ft/s),3.047666667
Rate Of Penetration (ft/s),3.067333333
Rate Of Penetration (ft/s),2.6915
Rate Of Penetration (ft/s),3.067333333
Rate Of Penetration (ft/s),2.972166667
Rate Of Penetration (ft/s),2.693
Rate Of Penetration (ft/s),3.071666667
Rate Of Penetration (ft/s),2.808166667
Rate Of Penetration (ft/s),3.091833333
Rate Of Penetration (ft/s),3.086333333
Rate Of Penetration (ft/s),2.774
Rate Of Penetration (ft/s),2.919333333
Rate Of Penetration (ft/s),2.803833333
Rate Of Penetration (ft/s),2.878166667
Rate Of Penetration (ft/s),2.894
Rate Of Penetration (ft/s),2.921666667
Rate Of Penetration (ft/s),3.0075
Rate Of Penetration (ft/s),2.39
Rate Of Penetration (ft/s),2.4155
Rate Of Penetration (ft/s),2.939333333
Rate Of Penetration (ft/s),3.007666667
Rate Of Penetration (ft/s),2.748666667
Rate Of Penetration (ft/s),2.374333333
Rate Of Penetration (ft/s),3.054666667
Rate Of Penetration (ft/s),2.742833333
Rate Of Penetration (ft/s),2.498
Rate Of Penetration (ft/s),2.762666667
Rate Of Penetration (ft/s),2.607333333
Rate Of Penetration (ft/s),2.842666667
Rate Of Penetration (ft/s),2.604833333
Rate Of Penetration (ft/s),2.840333333
Rate Of Penetration (ft/s),3.034666667
Rate Of Penetration (ft/s),3.509166667
Rate Of Penetration (ft/s),3.509166667
Rate Of Penetration (ft/s),2.745666667
Rate Of Penetration (ft/s),2.626333333
Rate Of Penetration (ft/s),3.506333333
Rate Of Penetration (ft/s),3.498166667
Rate Of Penetration (ft/s),3.495833333
Rate Of Penetration (ft/s),2.87
Rate Of Penetration (ft/s),2.817
Rate Of Penetration (ft/s),3.501
Rate Of Penetration (ft/s),3.978166667
Rate Of Penetration (ft/s),3.0695
Rate Of Penetration (ft/s),3.780333333
Rate Of Penetration (ft/s),3.8245
Rate Of Penetration (ft/s),3.801666667
Rate Of Penetration (ft/s),2.2975
Rate Of Penetration (ft/s),3.087666667
Rate Of Penetration (ft/s),4.106666667
Rate Of Penetration (ft/s),3.917333333
Rate Of Penetration (ft/s),3.731833333
Rate Of Penetration (ft/s),3.098833333
Rate Of Penetration (ft/s),3.054333333
Rate Of Penetration (ft/s),2.751333333
Rate Of Penetration (ft/s),2.936166667
Rate Of Penetration (ft/s),2.832166667
Rate Of Penetration (ft/s),2.917833333
Rate Of Penetration (ft/s),3.043166667
Rate Of Penetration (ft/s),2.687166667
Rate Of Penetration (ft/s),3.054666667
Rate Of Penetration (ft/s),3.063166667
Rate Of Penetration (ft/s),2.613166667
Rate Of Penetration (ft/s),2.920666667
Rate Of Penetration (ft/s),3.5
Rate Of Penetration (ft/s),3.503
Rate Of Penetration (ft/s),2.975
Rate Of Penetration (ft/s),2.989333333
Rate Of Penetration (ft/s),3.497333333
Rate Of Penetration (ft/s),3.473
Rate Of Penetration (ft/s),1.1995
Rate Of Penetration (ft/s),2.778333333
Rate Of Penetration (ft/s),2.895
Rate Of Penetration (ft/s),3.492833333
Rate Of Penetration (ft/s),3.110166667
Rate Of Penetration (ft/s),1.997333333
Rate Of Penetration (ft/s),3.133833333
Rate Of Penetration (ft/s),3.128666667
Rate Of Penetration (ft/s),2.103833333
Rate Of Penetration (ft/s),3.124166667
Rate Of Penetration (ft/s),2.012666667
Rate Of Penetration (ft/s),3.127333333
Rate Of Penetration (ft/s),3.126
Rate Of Penetration (ft/s),2.005333333
Rate Of Penetration (ft/s),2.353
Rate Of Penetration (ft/s),3.139166667
Rate Of Penetration (ft/s),3.144833333
Rate Of Penetration (ft/s),2.125
Rate Of Penetration (ft/s),2.239166667
Rate Of Penetration (ft/s),3.075
Rate Of Penetration (ft/s),3.102833333
Rate Of Penetration (ft/s),3.123
Rate Of Penetration (ft/s),2.291166667
Rate Of Penetration (ft/s),2.0595
Rate Of Penetration (ft/s),3.108666667
Rate Of Penetration (ft/s),1.979833333
Rate Of Penetration (ft/s),3.103166667
Rate Of Penetration (ft/s),3.106
Rate Of Penetration (ft/s),1.913
Rate Of Penetration (ft/s),3.087333333
Rate Of Penetration (ft/s),2.043833333
Rate Of Penetration (ft/s),2.975166667
Rate Of Penetration (ft/s),3.000666667
Rate Of Penetration (ft/s),2.038166667
Rate Of Penetration (ft/s),3.002
Rate Of Penetration (ft/s),3.0945
Rate Of Penetration (ft/s),3.155666667
Rate Of Penetration (ft/s),2.1405
Rate Of Penetration (ft/s),3.16
Rate Of Penetration (ft/s),3.131666667
Rate Of Penetration (ft/s),2.1405
Rate Of Penetration (ft/s),3.0975
Rate Of Penetration (ft/s),2.130666667
Rate Of Penetration (ft/s),3.198333333
Rate Of Penetration (ft/s),3.201166667
Rate Of Penetration (ft/s),2.098
Rate Of Penetration (ft/s),2.156166667
Rate Of Penetration (ft/s),2.940666667
Rate Of Penetration (ft/s),2.996
Rate Of Penetration (ft/s),3.013166667
Rate Of Penetration (ft/s),2.542166667
Rate Of Penetration (ft/s),2.211833333
Rate Of Penetration (ft/s),2.918
Rate Of Penetration (ft/s),2.949166667
Rate Of Penetration (ft/s),2.9535
Rate Of Penetration (ft/s),2.093833333
Rate Of Penetration (ft/s),2.960833333
Rate Of Penetration (ft/s),3.013333333
Rate Of Penetration (ft/s),2.244666667
Rate Of Penetration (ft/s),2.221666667
Rate Of Penetration (ft/s),2.947666667
Rate Of Penetration (ft/s),2.990333333
Rate Of Penetration (ft/s),3.061833333
Rate Of Penetration (ft/s),2.533666667
Rate Of Penetration (ft/s),2.5265
Rate Of Penetration (ft/s),2.996333333
Rate Of Penetration (ft/s),3.060833333
Rate Of Penetration (ft/s),3.2595
Rate Of Penetration (ft/s),3.266666667
Rate Of Penetration (ft/s),2.4055
Rate Of Penetration (ft/s),2.565
Rate Of Penetration (ft/s),3.015
Rate Of Penetration (ft/s),2.941
Rate Of Penetration (ft/s),3.101833333
Rate Of Penetration (ft/s),2.095166667
Rate Of Penetration (ft/s),2.212
Rate Of Penetration (ft/s),2.884
Rate Of Penetration (ft/s),3.053166667
Rate Of Penetration (ft/s),2.333166667
Rate Of Penetration (ft/s),3.086
Rate Of Penetration (ft/s),3.053166667
Rate Of Penetration (ft/s),2.985
Rate Of Penetration (ft/s),2.351333333
Rate Of Penetration (ft/s),2.525166667
Rate Of Penetration (ft/s),3.049
Rate Of Penetration (ft/s),3.0205
Rate Of Penetration (ft/s),3.076333333
Rate Of Penetration (ft/s),2.214833333
Rate Of Penetration (ft/s),4.318666667
Rate Of Penetration (ft/s),1.058166667
Rate Of Penetration (ft/s),3.649666667
Rate Of Penetration (ft/s),3.605833333
Rate Of Penetration (ft/s),3.601166667
Rate Of Penetration (ft/s),1.057833333
Rate Of Penetration (ft/s),1.0655
Rate Of Penetration (ft/s),3.610333333
Rate Of Penetration (ft/s),3.565833333
Rate Of Penetration (ft/s),3.6625
Rate Of Penetration (ft/s),1.053333333
Rate Of Penetration (ft/s),3.571
Rate Of Penetration (ft/s),3.3905
Rate Of Penetration (ft/s),0.557333333
Rate Of Penetration (ft/s),0.556666667
Rate Of Penetration (ft/s),3.406
Rate Of Penetration (ft/s),3.3535
Rate Of Penetration (ft/s),3.4585
Rate Of Penetration (ft/s),1.032666667
Rate Of Penetration (ft/s),0.557166667
Rate Of Penetration (ft/s),3.374833333
Rate Of Penetration (ft/s),3.433
Rate Of Penetration (ft/s),3.496333333
Rate Of Penetration (ft/s),3.564333333
Rate Of Penetration (ft/s),1.063166667
Rate Of Penetration (ft/s),1.066833333
Rate Of Penetration (ft/s),3.535166667
Rate Of Penetration (ft/s),3.6285
Rate Of Penetration (ft/s),3.4945
Rate Of Penetration (ft/s),1.066333333
Rate Of Penetration (ft/s),1.0635
Rate Of Penetration (ft/s),3.627166667
Rate Of Penetration (ft/s),3.5965
Rate Of Penetration (ft/s),1.052666667
Rate Of Penetration (ft/s),3.672
Rate Of Penetration (ft/s),3.625666667
Rate Of Penetration (ft/s),3.632666667
Rate Of Penetration (ft/s),1.0645
Rate Of Penetration (ft/s),1.065
Rate Of Penetration (ft/s),3.595166667
Rate Of Penetration (ft/s),3.569666667
Rate Of Penetration (ft/s),3.669
Rate Of Penetration (ft/s),1.0675
Rate Of Penetration (ft/s),0.574166667
Rate Of Penetration (ft/s),3.322166667
Rate Of Penetration (ft/s),3.351833333
Rate Of Penetration (ft/s),0.574333333
Rate Of Penetration (ft/s),3.448
Rate Of Penetration (ft/s),0.574333333
Rate Of Penetration (ft/s),3.483
Rate Of Penetration (ft/s),3.4675
Rate Of Penetration (ft/s),0.580666667
Rate Of Penetration (ft/s),3.454
Rate Of Penetration (ft/s),3.456333333
Rate Of Penetration (ft/s),3.359333333
Rate Of Penetration (ft/s),0.573166667
Rate Of Penetration (ft/s),3.232333333
Rate Of Penetration (ft/s),3.117166667
Rate Of Penetration (ft/s),0.565833333
Rate Of Penetration (ft/s),3.386166667
Rate Of Penetration (ft/s),0.574
Rate Of Penetration (ft/s),3.416
Rate Of Penetration (ft/s),3.382666667
Rate Of Penetration (ft/s),0.572166667
Rate Of Penetration (ft/s),3.563
Rate Of Penetration (ft/s),0.498666667
Rate Of Penetration (ft/s),0.570333333
Rate Of Penetration (ft/s),3.495166667
Rate Of Penetration (ft/s),3.693666667
Rate Of Penetration (ft/s),3.421666667
Rate Of Penetration (ft/s),0.561333333
Rate Of Penetration (ft/s),0.554833333
Rate Of Penetration (ft/s),2.9825
Rate Of Penetration (ft/s),3.4245
Rate Of Penetration (ft/s),0.566333333
Rate Of Penetration (ft/s),0.5735
Rate Of Penetration (ft/s),3.453333333
Rate Of Penetration (ft/s),3.464666667
Rate Of Penetration (ft/s),0.574333333
Rate Of Penetration (ft/s),3.483
Rate Of Penetration (ft/s),0.565166667
Rate Of Penetration (ft/s),3.399666667
Rate Of Penetration (ft/s),3.410333333
Rate Of Penetration (ft/s),0.5745
Rate Of Penetration (ft/s),3.444333333
Rate Of Penetration (ft/s),1.153666667
Rate Of Penetration (ft/s),1.258833333
Rate Of Penetration (ft/s),1.257833333
Rate Of Penetration (ft/s),1.161
Rate Of Penetration (ft/s),1.162666667
Rate Of Penetration (ft/s),1.153333333
Rate Of Penetration (ft/s),1.259
Rate Of Penetration (ft/s),1.246833333
Rate Of Penetration (ft/s),1.162166667
Rate Of Penetration (ft/s),1.156333333
Rate Of Penetration (ft/s),1.257833333
Rate Of Penetration (ft/s),1.258166667
Rate Of Penetration (ft/s),3.561
Rate Of Penetration (ft/s),3.576833333
Rate Of Penetration (ft/s),1.258166667
Rate Of Penetration (ft/s),3.5925
Rate Of Penetration (ft/s),1.258
Rate Of Penetration (ft/s),1.158
Rate Of Penetration (ft/s),1.414666667
Rate Of Penetration (ft/s),1.257833333
Rate Of Penetration (ft/s),3.3405
Rate Of Penetration (ft/s),1.258166667
Rate Of Penetration (ft/s),3.071666667
Rate Of Penetration (ft/s),2.994833333
Rate Of Penetration (ft/s),3.008833333
Rate Of Penetration (ft/s),1.255833333
Rate Of Penetration (ft/s),1.224
Rate Of Penetration (ft/s),3.202666667
Rate Of Penetration (ft/s),3.128666667
Rate Of Penetration (ft/s),3.125833333
Rate Of Penetration (ft/s),1.212333333
Rate Of Penetration (ft/s),3.122833333
Rate Of Penetration (ft/s),3.986666667
Rate Of Penetration (ft/s),1.240666667
Rate Of Penetration (ft/s),1.254333333
Rate Of Penetration (ft/s),3.325333333
Rate Of Penetration (ft/s),3.986666667
Rate Of Penetration (ft/s),3.13
Rate Of Penetration (ft/s),1.257833333
Rate Of Penetration (ft/s),1.2565
Rate Of Penetration (ft/s),1.772833333
Rate Of Penetration (ft/s),3.029
Rate Of Penetration (ft/s),3.898333333
Rate Of Penetration (ft/s),1.056166667
Rate Of Penetration (ft/s),3.899
Rate Of Penetration (ft/s),3.882833333
Rate Of Penetration (ft/s),1.052833333
Rate Of Penetration (ft/s),3.813666667
Rate Of Penetration (ft/s),1.06
Rate Of Penetration (ft/s),3.838833333
Rate Of Penetration (ft/s),3.864333333
Rate Of Penetration (ft/s),1.0355
Rate Of Penetration (ft/s),1.0675
Rate Of Penetration (ft/s),3.853166667
Rate Of Penetration (ft/s),3.782
Rate Of Penetration (ft/s),1.056333333
Rate Of Penetration (ft/s),1.057166667
Rate Of Penetration (ft/s),3.730666667
Rate Of Penetration (ft/s),3.8205
Rate Of Penetration (ft/s),3.817666667
Rate Of Penetration (ft/s),1.053833333
Rate Of Penetration (ft/s),1.0625
Rate Of Penetration (ft/s),3.379333333
Rate Of Penetration (ft/s),0.814666667
Rate Of Penetration (ft/s),3.572666667
Rate Of Penetration (ft/s),3.594166667
Rate Of Penetration (ft/s),0.385833333
Rate Of Penetration (ft/s),3.699333333
Rate Of Penetration (ft/s),1.256666667
Rate Of Penetration (ft/s),3.591
Rate Of Penetration (ft/s),3.5825
Rate Of Penetration (ft/s),1.263666667
Rate Of Penetration (ft/s),3.605333333
Rate Of Penetration (ft/s),3.7435
Rate Of Penetration (ft/s),3.912833333
Rate Of Penetration (ft/s),0.386166667
Rate Of Penetration (ft/s),3.899333333
Rate Of Penetration (ft/s),3.8605
Rate Of Penetration (ft/s),0.331666667
Rate Of Penetration (ft/s),3.740833333
Rate Of Penetration (ft/s),0.388
Rate Of Penetration (ft/s),3.750666667
Rate Of Penetration (ft/s),3.824833333
Rate Of Penetration (ft/s),0.383
Rate Of Penetration (ft/s),0.5765
Rate Of Penetration (ft/s),4.0895
Rate Of Penetration (ft/s),4.068166667
Rate Of Penetration (ft/s),0.570666667
Rate Of Penetration (ft/s),0.5685
Rate Of Penetration (ft/s),4.0795
Rate Of Penetration (ft/s),4.116666667
Rate Of Penetration (ft/s),4.141
Rate Of Penetration (ft/s),0.569666667
Rate Of Penetration (ft/s),0.569666667
Rate Of Penetration (ft/s),4.035666667
Rate Of Penetration (ft/s),4.039833333
Rate Of Penetration (ft/s),0.557833333
Rate Of Penetration (ft/s),3.996666667
Rate Of Penetration (ft/s),4.166666667
Rate Of Penetration (ft/s),4.061166667
Rate Of Penetration (ft/s),0.559
Rate Of Penetration (ft/s),0.567333333
Rate Of Penetration (ft/s),3.955833333
Rate Of Penetration (ft/s),3.918166667
Rate Of Penetration (ft/s),3.621
Rate Of Penetration (ft/s),0.565833333
Rate Of Penetration (ft/s),4.258666667
Rate Of Penetration (ft/s),0.571
Rate Of Penetration (ft/s),4.3355
Rate Of Penetration (ft/s),4.332666667
Rate Of Penetration (ft/s),0.570166667
Rate Of Penetration (ft/s),4.002666667
Rate Of Penetration (ft/s),0.570833333
Rate Of Penetration (ft/s),4.014333333
Rate Of Penetration (ft/s),1.745333333
Rate Of Penetration (ft/s),0.569833333
Rate Of Penetration (ft/s),0.5685
Rate Of Penetration (ft/s),4.217333333
Rate Of Penetration (ft/s),4.211666667
Rate Of Penetration (ft/s),0.57
Rate Of Penetration (ft/s),0.569666667
Rate Of Penetration (ft/s),4.171
Rate Of Penetration (ft/s),4.312333333
Rate Of Penetration (ft/s),4.3355
Rate Of Penetration (ft/s),0.5705
Rate Of Penetration (ft/s),0.571166667
Rate Of Penetration (ft/s),4.200333333
Rate Of Penetration (ft/s),4.039
Rate Of Penetration (ft/s),2.535333333
Rate Of Penetration (ft/s),2.596333333
Rate Of Penetration (ft/s),4.045
Rate Of Penetration (ft/s),4.047833333
Rate Of Penetration (ft/s),3.924
Rate Of Penetration (ft/s),2.451166667
Rate Of Penetration (ft/s),2.535666667
Rate Of Penetration (ft/s),4.024666667
Rate Of Penetration (ft/s),4.002
Rate Of Penetration (ft/s),2.555
Rate Of Penetration (ft/s),2.624833333
Rate Of Penetration (ft/s),4.3125
Rate Of Penetration (ft/s),4.318166667
Rate Of Penetration (ft/s),2.774166667
Rate Of Penetration (ft/s),4.318833333
Rate Of Penetration (ft/s),2.3685
Rate Of Penetration (ft/s),0.387166667
Rate Of Penetration (ft/s),2.564666667
Rate Of Penetration (ft/s),2.439666667
Rate Of Penetration (ft/s),4.310833333
Rate Of Penetration (ft/s),2.419833333
Rate Of Penetration (ft/s),3.932
Rate Of Penetration (ft/s),3.904333333
Rate Of Penetration (ft/s),3.873333333
Rate Of Penetration (ft/s),2.323166667
